,quadragram,PMI
363,"('bed', 'of', 'lie', 'you')",20.692985555977472
364,"('“I', '’ll', 'see', 'you')",20.683115744805278
365,"('be', 'a', 'heaven', 'above')",20.678500555565584
366,"('may', 'or', 'may', 'not')",20.67374091735147
367,"('a', 'drug', 'or', 'treatment')",20.65975521389589
368,"('the', 'absolute', 'value', 'procedure')",20.658204200484395
369,"('and', 'interpretation', 'of', 'computer')",20.64023333101852
370,"('be', 'no', 'sun', 'how')",20.62472143773317
371,"('time', 'you', ""'"", 'll')",20.55517474018007
372,"('the', 'cafeteria', 'with', 'Jessica')",20.54315235233408
373,"('formal', 'parameter', 'of', 'a')",20.536991927008145
374,"('the', 'university', 'of', 'California')",20.536078005698364
375,"('and', 'their', 'bomb', 'and')",20.523514551524638
376,"('problem', 'you', 'can', 'stop')",20.52280965972336
377,"('give', 'up', 'the', 'fight')",20.49255500587658
378,"('find', 'the', 'square', 'root')",20.476465188969843
379,"('endeavoure', 'to', 'find', 'a')",20.476281404884343
380,"('the', 'best', 'song', 'in')",20.466139512840073
381,"('I', 'endeavoure', 'to', 'find')",20.455980740389972
382,"('’t', 'worry', 'about', 'it')",20.447509475036274
383,"('to', 'achieve', 'you', 'dream')",20.393680370050777
384,"('baby', 'and', '', 'do')",20.35249213511894
385,"('sun', 'how', 'do', 'you')",20.351948638142403
386,"('shall', 'count', 'that', 'as')",20.348078082944127
387,"('you', 'will', 'bleed', 'for')",20.32500560642289
388,"('sum', 'of', 'square', '+')",20.29317283854677
389,"('“I', '’m', 'not', 'go')",20.266559929720948
390,"('to', 'the', 'spring', 'dance')",20.265031079813184
391,"('why', '', 'do', 'not')",20.259544331964356
392,"('square', 'x', 'x', 'x')",20.23210974311322
393,"('there', 'be', 'no', 'sun')",20.184900837524438
394,"('inevitable', 'return', 'of', 'the')",20.173507926313658
395,"('the', 'inevitable', 'return', 'of')",20.173507926313658
396,"('iterative', 'process', 'if', 'it')",20.157631746574705
397,"('must', 'have', 'a', 'zero')",20.154913688734226
398,"('be', 'my', 'childhood', 'dream')",20.14507463441883
399,"('dance', 'of', 'the', 'dead')",20.140492869085698
400,"(""'s"", 'gate', 'and', 'on')",20.139414453431296
401,"('we', 'shall', 'count', 'that')",20.12953482459528
402,"('take', 'this', 'promise', 'to')",20.10363271357433
403,"('sometimes', 'i', 'be', 'dream')",20.08344346150053
404,"('process', 'if', 'it', 'generate')",20.072742848988195
